"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"222","var_ratio[36]",3.77,0,0.13,3.52,3.68,3.76,3.85,4.02,1000,1,"long1","ANTs"
"223","var_ratio[37]",4.32,0,0.13,4.06,4.24,4.32,4.4,4.58,1000,1,"long1","ANTs"
"224","var_ratio[38]",3.01,0,0.09,2.82,2.95,3.01,3.07,3.19,1000,1,"long1","ANTs"
"225","var_ratio[39]",3.92,0,0.12,3.71,3.83,3.92,4,4.17,1000,1,"long1","ANTs"
"226","var_ratio[40]",3.88,0,0.13,3.63,3.8,3.88,3.97,4.13,1000,1,"long1","ANTs"
"227","var_ratio[41]",3.7,0,0.12,3.45,3.62,3.7,3.79,3.93,1000,1,"long1","ANTs"
"228","var_ratio[42]",3.67,0,0.12,3.45,3.59,3.66,3.74,3.91,1000,1,"long1","ANTs"
"229","var_ratio[43]",3.58,0,0.11,3.37,3.5,3.58,3.66,3.81,1000,1,"long1","ANTs"
"230","var_ratio[44]",4.11,0,0.13,3.86,4.02,4.11,4.2,4.37,1000,1,"long1","ANTs"
"231","var_ratio[45]",4.28,0,0.14,4.01,4.18,4.28,4.37,4.57,1000,1,"long1","ANTs"
"232","var_ratio[46]",3.06,0,0.1,2.88,2.99,3.06,3.13,3.28,1000,1,"long1","ANTs"
"233","var_ratio[47]",3.89,0,0.12,3.65,3.81,3.89,3.97,4.13,1000,1,"long1","ANTs"
"234","var_ratio[48]",3.64,0,0.13,3.4,3.54,3.64,3.72,3.89,1000,1,"long1","ANTs"
"235","var_ratio[49]",3.41,0,0.12,3.19,3.33,3.41,3.49,3.63,1000,1,"long1","ANTs"
"236","var_ratio[50]",2.49,0,0.08,2.33,2.43,2.48,2.54,2.65,1000,1,"long1","ANTs"
"237","var_ratio[51]",3.11,0,0.1,2.92,3.04,3.1,3.17,3.3,1000,1,"long1","ANTs"
"238","var_ratio[52]",4.13,0,0.13,3.88,4.04,4.12,4.21,4.4,1000,1,"long1","ANTs"
"239","var_ratio[53]",3.08,0,0.1,2.87,3.01,3.07,3.14,3.28,1000,1,"long1","ANTs"
"240","var_ratio[54]",4.42,0,0.14,4.16,4.32,4.41,4.51,4.71,1000,1,"long1","ANTs"
"241","var_ratio[55]",3.46,0,0.12,3.25,3.38,3.46,3.54,3.7,1000,1,"long1","ANTs"
"242","var_ratio[56]",4.02,0,0.12,3.79,3.94,4.02,4.1,4.29,1000,1,"long1","ANTs"
"243","var_ratio[57]",3.8,0,0.12,3.58,3.72,3.8,3.88,4.06,1000,1,"long1","ANTs"
"244","var_ratio[58]",3.5,0,0.12,3.28,3.41,3.5,3.58,3.73,1000,1,"long1","ANTs"
